"doi","container.title","title","author","type","publisher"
"10.1128/mr.60.1.103-134.1996","Microbiological Reviews","Programmed translational frameshifting","P J","journal-article","American Society for Microbiology"
"10.1128/mr.56.3.412-429.1992","Microbiological Reviews","Editing of errors in selection of amino acids for protein synthesis","H","journal-article","American Society for Microbiology"
"10.1042/bst0360567","Biochemical Society Transactions","What we have learned from ribosome structures","V.","journal-article","Portland Press Ltd."
"10.1098/rsfs.2022.0013","Interface Focus","The linear framework: using graph theory to reveal the algebra and thermodynamics of biomolecular systems","http://orcid.org/0000-0002-3594-6141","journal-article","The Royal Society"
"10.1038/nsmb.1880","Nature Structural &amp; Molecular Biology","Structural rearrangements of the ribosome at the tRNA proofreading step","Lasse","journal-article","Springer Science and Business Media LLC"
"10.1016/s0021-9258(19)51068-7","Journal of Biological Chemistry","Misincorporation and mispaired primer extension by human immunodeficiency virus reverse transcriptase.","S.","journal-article","Elsevier BV"
"10.1074/jbc.m110.105320","Journal of Biological Chemistry","Aminoacyl Transfer Rate Dictates Choice of Editing Pathway in Threonyl-tRNA Synthetase","Anand","journal-article","Elsevier BV"
"10.1074/jbc.m110.133553","Journal of Biological Chemistry","Partitioning of tRNA-dependent Editing between Pre- and Post-transfer Pathways in Class I Aminoacyl-tRNA Synthetases","Morana","journal-article","Elsevier BV"
"10.1016/j.pharmthera.2022.108175","Pharmacology &amp; Therapeutics","Why medicines work","David C.","journal-article","Elsevier BV"
"10.1007/bf00331638","Molecular and General Genetics MGG","How do combinations of rpsL − and miaA − generate streptomycin dependence?","I.","journal-article","Springer Science and Business Media LLC"
"10.1016/j.copbio.2018.01.029","Current Opinion in Biotechnology","There's (still) plenty of room at the bottom","Noah","journal-article","Elsevier BV"
"10.2119/molmed.2009.00026","Molecular Medicine","RNA Surveillance: Molecular Approaches in Transcript Quality Control and their Implications in Clinical Diseases","Karen C. M.","journal-article","Springer Science and Business Media LLC"
"10.1111/j.1432-1033.1979.tb12915.x","European Journal of Biochemistry","Translational Fidelity and Specificity of Ribosomes Cleaved by Cloacin DF13","Johan C.","journal-article","Wiley"
"10.1142/s0218339018500158","Journal of Biological Systems","COMPARISON OF A DUAL STRATEGY FOR T-CELL ACTIVATION UNDER INHIBITION OF THE CD4 RECEPTOR","http://orcid.org/0000-0001-9888-7700","journal-article","World Scientific Pub Co Pte Lt"
"10.1016/0014-5793(80)80211-0","FEBS Letters","A new mechanism for the hydrolytic editing function of aminoacyl‐tRNA synthetases","H.T.","journal-article","Wiley"
"10.1016/0014-5793(83)80519-5","FEBS Letters","Effect of codon shortening and the antibiotics viomycin and sparsomycin upon the behaviour of bound aminoacyl‐tRNA","Horst","journal-article","Wiley"
"10.3390/ijms22020952","International Journal of Molecular Sciences","A Peek Inside the Machines of Bacterial Nucleotide Excision Repair","Thanyalak","journal-article","MDPI AG"
"10.1021/nl502890g","Nano Letters","Direct Correlation of DNA Binding and Single Protein Domain Motion via Dual Illumination Fluorescence Microscopy","Mohamed","journal-article","American Chemical Society (ACS)"
"10.1371/journal.pcbi.1003300","PLoS Computational Biology","Unraveling Adaptation in Eukaryotic Pathways: Lessons from Protocells","Giovanna","journal-article","Public Library of Science (PLoS)"
"10.1371/journal.pcbi.1003016","PLoS Computational Biology","Synthetic Lethality between Gene Defects Affecting a Single Non-essential Molecular Pathway with Reversible Steps","Andrei","journal-article","Public Library of Science (PLoS)"
"10.1103/physrevlett.115.038102","Physical Review Letters","Physical Limit to Concentration Sensing Amid Spurious Ligands","Thierry","journal-article","American Physical Society (APS)"
"10.1016/j.semcdb.2011.03.009","Seminars in Cell &amp; Developmental Biology","Processive ubiquitin chain formation by the anaphase-promoting complex","Hermann-Josef","journal-article","Elsevier BV"
"10.1016/j.semcdb.2010.03.006","Seminars in Cell &amp; Developmental Biology","Protein quality control in the ER: The recognition of misfolded proteins","Pekka","journal-article","Elsevier BV"
"10.1002/bbpc.19770811216","Berichte der Bunsengesellschaft für physikalische Chemie","The Stirred Flow Reactor: Base Analog Incorporation in DNA Replication and Transcription","Ramachandra","journal-article","Wiley"
"10.1016/j.bpj.2014.09.038","Biophysical Journal","A Critical Residue Selectively Recruits Nucleotides for T7 RNA Polymerase Transcription Fidelity Control","Baogen","journal-article","Elsevier BV"
"10.1016/j.bpj.2013.04.042","Biophysical Journal","Modeling Stochastic Kinetics of Molecular Machines at Multiple Levels: From Molecules to Modules","Debashish","journal-article","Elsevier BV"
"10.1093/nar/gkac687","Nucleic Acids Research","Prp43/DHX15 exemplify RNA helicase multifunctionality in the gene expression network","http://orcid.org/0000-0001-6035-4255","journal-article","Oxford University Press (OUP)"
"10.1103/physrevlett.131.068401","Physical Review Letters","Physical Constraints in Intracellular Signaling: The Cost of Sending a Bit","http://orcid.org/0000-0002-2480-6127","journal-article","American Physical Society (APS)"
"10.1039/d3cp04410f","Physical Chemistry Chemical Physics","Trapping a non-cognate nucleotide upon initial binding for replication fidelity control in SARS-CoV-2 RNA dependent RNA polymerase","Moises E.","journal-article","Royal Society of Chemistry (RSC)"
"10.1126/science.1206629","Science","Initiation Complex Structure and Promoter Proofreading","Xin","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1126/science.3510456","Science","The Context Effect Does Not Require a Fourth Base Pair","Don","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1021/acs.biochem.9b00237","Biochemistry","Revisiting Trade-offs between Rubisco Kinetic Parameters","Avi I.","journal-article","American Chemical Society (ACS)"
"10.1021/bi00302a020","Biochemistry","T4 RNA ligase mediated preparation of novel ""chemically misacylated"" tRNAPhes","Thomas G.","journal-article","American Chemical Society (ACS)"
"10.1103/physreve.99.060401","Physical Review E","Histone mark recognition controls nucleosome translocation via a kinetic proofreading mechanism: Confronting theory and high-throughput experiments","Ralf","journal-article","American Physical Society (APS)"
"10.1103/physreve.99.052101","Physical Review E","Nonequilibrium abundances for the building blocks of life","Elan","journal-article","American Physical Society (APS)"
"10.1103/physreve.99.022423","Physical Review E","Receptor crosstalk improves concentration sensing of multiple ligands","Martín","journal-article","American Physical Society (APS)"
"10.1021/jp026753k","The Journal of Physical Chemistry B","Theoretical Understanding of the Interprotein Electron Transfer between Cytochrome <i>c</i><sub>2</sub> and the Photosynthetic Reaction Center","Osamu","journal-article","American Chemical Society (ACS)"
"10.1021/acschembio.9b00973","ACS Chemical Biology","Characterization of Arylalkylamine <i>N</i>-Acyltransferase from <i>Tribolium castaneum</i>: An Investigation into a Potential Next-Generation Insecticide Target","http://orcid.org/0000-0002-4593-4371","journal-article","American Chemical Society (ACS)"
"10.1016/j.bpj.2017.11.1170","Biophysical Journal","Two-Step Membrane Binding by the Bacterial SRP Receptor Enables Efficient and Accurate Co-Translational Protein Targeting","Yu-Hsien","journal-article","Elsevier BV"
"10.1016/s0161-5890(02)00065-2","Molecular Immunology","Quantitative aspects of signal transduction by the receptor with high affinity for IgE","Henry","journal-article","Elsevier BV"
"10.1016/s0021-9258(17)30277-6","Journal of Biological Chemistry","On the fidelity of DNA replication. Accuracy of Escherichia coli DNA polymerase I.","S.S.","journal-article","Elsevier BV"
"10.1016/s0021-9258(17)34673-2","Journal of Biological Chemistry","An ATP stimulation of T4 DNA polymerase mediated via T4 gene 44/62 and 45 proteins. The requirement for ATP hydrolysis.","J.R.","journal-article","Elsevier BV"
"10.1074/jbc.m113.546515","Journal of Biological Chemistry","A Fundamental Trade-off in Covalent Switching and Its Circumvention by Enzyme Bifunctionality in Glucose Homeostasis","Tathagata","journal-article","Elsevier BV"
"10.1080/01496398208068550","Separation Science and Technology","Microheterogeneous Collagen Model on the Basis of a Chromatographic Study on Hydroxyapatite Columns","Tsutomu","journal-article","Informa UK Limited"
"10.1016/j.copbio.2013.04.008","Current Opinion in Biotechnology","Optimality in evolution: new insights from synthetic biology","Marjon GJ","journal-article","Elsevier BV"
"10.1016/j.copbio.2009.08.006","Current Opinion in Biotechnology","Engineering multicellular systems by cell–cell communication","Anand","journal-article","Elsevier BV"
"10.1006/jtbi.2000.2163","Journal of Theoretical Biology","Kinetic Proofreading Scanning Models for Eukaryotic Translational Initiation: the Cap and Poly(A) Tail Dependency of Translation","XIPING","journal-article","Elsevier BV"
"10.1016/j.aam.2019.06.001","Advances in Applied Mathematics","Complexity of model testing for dynamical systems with toric steady states","Michael F.","journal-article","Elsevier BV"
"10.1038/s41467-018-03826-4","Nature Communications","Design principles for enhancing phase sensitivity and suppressing phase fluctuations simultaneously in biochemical oscillatory systems","http://orcid.org/0000-0002-8287-4347","journal-article","Springer Science and Business Media LLC"
"10.1093/nar/gku1370","Nucleic Acids Research","Five checkpoints maintaining the fidelity of transcription by RNA polymerases in structural and energetic details","Beibei","journal-article","Oxford University Press (OUP)"
"10.1016/0014-5793(84)80617-1","FEBS Letters","Stoichiometry of GTP hydrolysis in a poly(U)‐dependent cell‐free translation system","L.P.","journal-article","Wiley"
"10.3390/ijms21249449","International Journal of Molecular Sciences","Molecular Insights into Determinants of Translational Readthrough and Implications for Nonsense Suppression Approaches","http://orcid.org/0000-0003-2918-4010","journal-article","MDPI AG"
"10.1038/nrm2203","Nature Reviews Molecular Cell Biology","Mechanisms of specificity in protein phosphorylation","Jeffrey A.","journal-article","Springer Science and Business Media LLC"
"10.1063/1.5004793","The Journal of Chemical Physics","Thermodynamic framework for information in nanoscale systems with memory","http://orcid.org/0000-0001-6802-0874","journal-article","AIP Publishing"
"10.3390/e21121212","Entropy","Dissipation in Non-Steady State Regulatory Circuits","Paulina","journal-article","MDPI AG"
"10.3390/e21080743","Entropy","Maximum Entropy Production Theorem for Transitions between Enzyme Functional States and Its Applications","Davor","journal-article","MDPI AG"
"10.1371/journal.pcbi.1002144","PLoS Computational Biology","A Peptide Filtering Relation Quantifies MHC Class I Peptide Optimization","Neil","journal-article","Public Library of Science (PLoS)"
"10.1371/journal.pcbi.1001069","PLoS Computational Biology","Gene Expression Noise in Spatial Patterning: hunchback Promoter Structure Affects Noise Amplitude and Distribution in Drosophila Segmentation","David M.","journal-article","Public Library of Science (PLoS)"
"10.1371/journal.pcbi.1000804","PLoS Computational Biology","Enhancement of Transport Selectivity through Nano-Channels by Non-Specific Competition","Anton","journal-article","Public Library of Science (PLoS)"
"10.1371/journal.pbio.2006459","PLOS Biology","A speed–fidelity trade-off determines the mutation rate and virulence of an RNA virus","William J.","journal-article","Public Library of Science (PLoS)"
"10.3934/biophy.2015.4.398","AIMS Biophysics","Kinetic proofreading of chromatin remodeling: from gene activation to gene repression and back","Raghvendra","journal-article","American Institute of Mathematical Sciences (AIMS)"
"10.1109/memb.2006.1578663","IEEE Engineering in Medicine and Biology Magazine","The quest for error correction in biology","M.K.","journal-article","Institute of Electrical and Electronics Engineers (IEEE)"
"10.1103/physreve.92.060101","Physical Review E","Michaelis-Menten reaction scheme as a unified approach towards the optimal restart problem","Tal","journal-article","American Physical Society (APS)"
"10.1103/physreve.92.032702","Physical Review E","Energy dissipation drives the gradient signal amplification through an incoherent type-1 feed-forward loop","Ganhui","journal-article","American Physical Society (APS)"
"10.1103/physreve.92.022716","Physical Review E","Ribosome utilizes the minimum free energy changes to achieve the highest decoding rate and fidelity","Ping","journal-article","American Physical Society (APS)"
"10.1073/pnas.1610917113","Proceedings of the National Academy of Sciences","Two proofreading steps amplify the accuracy of genetic code translation","http://orcid.org/0000-0003-4518-0618","journal-article","Proceedings of the National Academy of Sciences"
"10.1016/j.devcel.2019.04.031","Developmental Cell","Anillin Promotes Cell Contractility by Cyclic Resetting of RhoA Residence Kinetics","Srikanth","journal-article","Elsevier BV"
"10.1038/s41586-020-2447-x","Nature","Cryo-EM of elongating ribosome with EF-Tu•GTP elucidates tRNA proofreading","Anna B.","journal-article","Springer Science and Business Media LLC"
"10.1103/physreve.63.031909","Physical Review E","Kinetic proofreading can explain the supression of supercoiling of circular DNA molecules by type-II topoisomerases","Jie","journal-article","American Physical Society (APS)"
"10.1002/cphc.202200644","ChemPhysChem","Understanding the Target Search by Multiple Transcription Factors on Nucleosomal DNA","Sujeet","journal-article","Wiley"
"10.1021/bi00505a025","Biochemistry","Role of the .beta.-phosphate and .gamma.-phosphate interchange reaction of adenosine triphosphate in amino acid discrimination by valyl- and methionyl-tRNA synthetases from Escherichia coli","Linda Tombras","journal-article","American Chemical Society (ACS)"
"10.1103/physreve.98.012420","Physical Review E","Energy-speed-accuracy relation in complex networks for biological discrimination","Felix","journal-article","American Physical Society (APS)"
"10.1016/j.cell.2006.05.045","Cell","A Luminal Surveillance Complex that Selects Misfolded Glycoproteins for ER-Associated Degradation","Vladimir","journal-article","Elsevier BV"
"10.1016/j.cell.2005.10.032","Cell","The Processivity of Multiubiquitination by the APC Determines the Order of Substrate Degradation","Michael","journal-article","Elsevier BV"
"10.1016/j.cell.2005.09.034","Cell","Chromosome Sites Play Dual Roles to Establish Homologous Synapsis during Meiosis in C. elegans","Amy J.","journal-article","Elsevier BV"
"10.1016/s0021-9258(17)33149-6","Journal of Biological Chemistry","Control of mutation frequency by bacteriophage T4 DNA polymerase. I. The CB120 antimutator DNA polymerase is defective in strand displacement.","F D","journal-article","Elsevier BV"
"10.1016/s0021-9258(18)67064-4","Journal of Biological Chemistry","On the fidelity of DNA synthesis. Pyrophosphate-induced misincorporation allows detection of two proofreading mechanisms.","T A","journal-article","Elsevier BV"
"10.1074/jbc.m113.544429","Journal of Biological Chemistry","Doc Toxin Is a Kinase That Inactivates Elongation Factor Tu","Jonathan W.","journal-article","Elsevier BV"
"10.1016/s0958-1669(02)00329-4","Current Opinion in Biotechnology","Dimensionality is the issue: use of photoaptamers in protein microarrays","Helen","journal-article","Elsevier BV"
"10.1111/j.1432-1033.1979.tb02041.x","European Journal of Biochemistry","The Binding of Non-cognate Tyr-tRNATyr to Poly(uridylic acid)-Programmed Escherichia coli Ribosomes","Sonsoles","journal-article","Wiley"
"10.1038/nrm2023","Nature Reviews Molecular Cell Biology","Back to the future: education for systems-level biologists","Ned","journal-article","Springer Science and Business Media LLC"
"10.1038/nrm1588","Nature Reviews Molecular Cell Biology","Thinking quantitatively about transcriptional regulation","Sandra J.","journal-article","Springer Science and Business Media LLC"
"10.1021/ja3095558","Journal of the American Chemical Society","Cascade of Reduced Speed and Accuracy after Errors in Enzyme-Free Copying of Nucleic Acid Sequences","Kevin","journal-article","American Chemical Society (ACS)"
"10.3390/e20050368","Entropy","Writing, Proofreading and Editing in Information Theory","http://orcid.org/0000-0001-6802-0874","journal-article","MDPI AG"
"10.3390/e20040306","Entropy","Balancing Non-Equilibrium Driving with Nucleotide Selectivity at Kinetic Checkpoints in Polymerase Fidelity Control","Chunhong","journal-article","MDPI AG"
"10.1371/journal.pcbi.0030125","PLoS Computational Biology","Efficiency, Selectivity, and Robustness of Nucleocytoplasmic Transport","Anton","journal-article","Public Library of Science (PLoS)"
"10.3390/genes2040998","Genes","Antifragility and Tinkering in Biology (and in Business) Flexibility Provides an Efficient Epigenetic Way to Manage Risk","Antoine","journal-article","MDPI AG"
"10.3390/biom9100588","Biomolecules","The Reverse Side of a Coin: “Factor-Free” Ribosomal Protein Synthesis In Vitro is a Consequence of the In Vivo Proofreading Mechanism","http://orcid.org/0000-0002-2138-4803","journal-article","MDPI AG"
"10.1007/s11538-013-9884-8","Bulletin of Mathematical Biology","Laplacian Dynamics on General Graphs","Inomzhon","journal-article","Springer Science and Business Media LLC"
"10.1016/j.jmb.2006.07.068","Journal of Molecular Biology","Reducing Intrinsic Biochemical Noise in Cells and Its Thermodynamic Limit","Hong","journal-article","Elsevier BV"
"10.1016/j.jmb.2006.07.031","Journal of Molecular Biology","Engineered Extrahelical Base Destabilization Enhances Sequence Discrimination of DNA Methyltransferase M.HhaI","Ben","journal-article","Elsevier BV"
"10.1073/pnas.1012051108","Proceedings of the National Academy of Sciences","Evolving concepts of specificity in immune reactions","Herman N.","journal-article","Proceedings of the National Academy of Sciences"
"10.1016/j.devcel.2018.03.002","Developmental Cell","Exploring the Function of Dynamic Phosphorylation-Dephosphorylation Cycles","Lendert","journal-article","Elsevier BV"
"10.1016/j.devcel.2017.10.006","Developmental Cell","Keeping in Touch to Differentiate","Chii J.","journal-article","Elsevier BV"
"10.1016/j.devcel.2017.09.014","Developmental Cell","An Effective Feedback Loop between Cell-Cell Contact Duration and Morphogen Signaling Determines Cell Fate","Vanessa","journal-article","Elsevier BV"
"10.1016/j.bpj.2011.11.4018","Biophysical Journal","Kinetics and Mechanics of Two-Dimensional Interactions between T Cell Receptors and Different Activating Ligands","Philippe","journal-article","Elsevier BV"
"10.1016/j.bpj.2011.10.037","Biophysical Journal","A Structural Perspective on the Dynamics of Kinesin Motors","Changbong","journal-article","Elsevier BV"
"10.1016/j.bpj.2011.07.001","Biophysical Journal","Kinetic Proofreading in Chromatin Remodeling: The Case of ISWI/ACF","Ralf","journal-article","Elsevier BV"
"10.1016/j.tcb.2022.07.006","Trends in Cell Biology","MYC: a complex problem","Subhendu K.","journal-article","Elsevier BV"
"10.1038/382496a0","Nature","Even peptides do it","Stuart","journal-article","Springer Science and Business Media LLC"
"10.1088/1367-2630/acc757","New Journal of Physics","Pareto optimal fronts of kinetic proofreading","Davide","journal-article","IOP Publishing"
"10.1128/jb.00852-08","Journal of Bacteriology","Continued Protein Synthesis at Low [ATP] and [GTP] Enables Cell Adaptation during Energy Limitation","Michael C.","journal-article","American Society for Microbiology"
"10.1016/s0021-9258(20)79678-x","Journal of Biological Chemistry","Mechanism of primer-template-dependent conversion of dNTP leads to dNMP by T5 DNA polymerase.","S.K.","journal-article","Elsevier BV"
"10.1074/jbc.m704788200","Journal of Biological Chemistry","Ammonium Scanning in an Enzyme Active Site","Damien","journal-article","Elsevier BV"
"10.1091/mbc.e17-06-0350","Molecular Biology of the Cell","Differential mast cell outcomes are sensitive to FcεRI-Syk binding kinetics","Samantha L.","journal-article","American Society for Cell Biology (ASCB)"
"10.1039/c6mb00388e","Molecular BioSystems","Cellular identity at the single-cell level","Ahmet F.","journal-article","Royal Society of Chemistry (RSC)"
"10.1039/c5mb00055f","Molecular BioSystems","Design principles of a conditional futile cycle exploited for regulation","Dean A.","journal-article","Royal Society of Chemistry (RSC)"
"10.1111/j.1432-1033.1977.tb11415.x","European Journal of Biochemistry","Methionyl‐tRNA Synthetase from <i>Escherichia coli</i>: Substituting Magnesium by Manganese in the L‐Methionine Activating Reaction","François","journal-article","Wiley"
"10.1063/1.5140714","Chaos: An Interdisciplinary Journal of Nonlinear Science","Reliable target ligand detection by noise-induced receptor cluster formation","http://orcid.org/0000-0002-2939-2058","journal-article","AIP Publishing"
"10.1093/nar/gkt136","Nucleic Acids Research","Comparison of DNA decatenation by Escherichia coli topoisomerase IV and topoisomerase III: implications for non-equilibrium topology simplification","Yeonee","journal-article","Oxford University Press (OUP)"
"10.3390/ijms16059866","International Journal of Molecular Sciences","Structural Insights into tRNA Dynamics on the Ribosome","Xabier","journal-article","MDPI AG"
"10.1016/s0300-9084(02)01409-8","Biochimie","Structural dynamics of ribosomal RNA during decoding on the ribosome","Marina V.","journal-article","Elsevier BV"
"10.1063/1.4967335","The Journal of Chemical Physics","Information management in DNA replication modeled by directional, stochastic chains with memory","http://orcid.org/0000-0001-6802-0874","journal-article","AIP Publishing"
"10.1021/jp004117l","The Journal of Physical Chemistry A","Ab Initio Evaluation of the Substitution Effect of the Hydrogen Bond Energy of the Watson−Crick Type Base Pair between 1-Methyluracil and Substituted 9-Methyladenine Derivatives","Shun-ichi","journal-article","American Chemical Society (ACS)"
"10.4049/jimmunol.170.7.3769","The Journal of Immunology","Investigation of Early Events in FcεRI-Mediated Signaling Using a Detailed Mathematical Model","James R.","journal-article","The American Association of Immunologists"
"10.1073/pnas.1602602113","Proceedings of the National Academy of Sciences","Phosphotyrosine-mediated LAT assembly on membranes drives kinetic bifurcation in recruitment dynamics of the Ras activator SOS","William Y. C.","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.1608795113","Proceedings of the National Academy of Sciences","Htm1p–Pdi1p is a folding-sensitive mannosidase that marks N-glycoproteins for ER-associated protein degradation","http://orcid.org/0000-0001-9642-1042","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.0503456102","Proceedings of the National Academy of Sciences","Simulating movement of tRNA into the ribosome during decoding","Kevin Y.","journal-article","Proceedings of the National Academy of Sciences"
"10.1126/science.281.5376.568","Science","An Unusual Mechanism for Ligand Antagonism","Chikako","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1126/science.285.5436.2095","Science","X-ray Crystal Structures of 70
            <i>S</i>
            Ribosome Functional Complexes","Jamie H.","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1126/science.1060612","Science","Recognition of Cognate Transfer RNA by the 30
            <i>S</i>
            Ribosomal Subunit","James M.","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1126/science.280.5363.541","Science","Sieves in Sequence","Alan R.","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1038/263289a0","Nature","Base pairing and fidelity in codon–anticodon interaction","Michael D.","journal-article","Springer Science and Business Media LLC"
"10.1002/1099-1352(200101/02)14:1<42::aid-jmr518>3.0.co;2-8","Journal of Molecular Recognition","Recognition between flexible protein molecules: induced and assisted folding","Alexander P.","journal-article","Wiley"
"10.1038/s41594-023-01078-5","Nature Structural &amp; Molecular Biology","KsgA facilitates ribosomal small subunit maturation by proofreading a key structural lesion","Jingyu","journal-article","Springer Science and Business Media LLC"
"10.1103/physrevresearch.5.023032","Physical Review Research","Theoretical upper bound of multiplexing in biological sensory receptors","http://orcid.org/0000-0001-8121-6425","journal-article","American Physical Society (APS)"
"10.1103/physrevresearch.5.013170","Physical Review Research","Avoidance of error catastrophe via proofreading innate to template-directed polymerization","http://orcid.org/0000-0002-6773-5824","journal-article","American Physical Society (APS)"
"10.1038/s41570-023-00558-y","Nature Reviews Chemistry","Ratcheting synthesis","http://orcid.org/0000-0001-9637-4178","journal-article","Springer Science and Business Media LLC"
"10.1039/d0cp02422h","Physical Chemistry Chemical Physics","The role of energy cost on accuracy, sensitivity, specificity, speed and adaptation of T cell foreign and self recognition","http://orcid.org/0000-0003-2142-7719","journal-article","Royal Society of Chemistry (RSC)"
"10.1021/acs.biochem.5b00122","Biochemistry","Conformation-Dependent Human p52Shc Phosphorylation by Human c-Src","Yuko","journal-article","American Chemical Society (ACS)"
"10.1016/s0092-8674(00)80738-2","Cell","It’s Spring, and Thoughts Turn to … Allergies","Henry","journal-article","Elsevier BV"
"10.1042/bst0331460","Biochemical Society Transactions","Coupling ATP hydrolysis to DNA strand passage in type IIA DNA topoisomerases","A.","journal-article","Portland Press Ltd."
"10.1007/bf00986958","Molecular Biology Reports","Peptide-chain elongation in eukaryotes","Christopher G.","journal-article","Springer Science and Business Media LLC"
"10.1007/bf00379994","Oecologia","Life history patterns in birds and mammals and their evolutionary interpretation","David","journal-article","Springer Science and Business Media LLC"
"10.1016/s0021-9258(18)45296-9","Journal of Biological Chemistry","The role of translocation in ribosomal accuracy. Translocation rates for cognate and noncognate aminoacyl- and peptidyl-tRNAs on Escherichia coli ribosomes.","F U","journal-article","Elsevier BV"
"10.1016/j.tree.2005.11.008","Trends in Ecology &amp; Evolution","How do adaptive immune systems control pathogens while avoiding autoimmunity?","Carl T.","journal-article","Elsevier BV"
"10.1091/mbc.e14-02-0753","Molecular Biology of the Cell","Nucleosomes, transcription, and probability","Hinrich","journal-article","American Society for Cell Biology (ASCB)"
"10.1002/pro.3190","Protein Science","Dynamic basis of fidelity and speed in translation: Coordinated multistep mechanisms of elongation and termination","Arjun","journal-article","Wiley"
"10.1002/anie.201001436","Angewandte Chemie International Edition","Unraveling the Structure of the Ribosome (Nobel Lecture)","V.","journal-article","Wiley"
"10.1111/j.1432-1033.1982.tb06516.x","European Journal of Biochemistry","Polymerization/Excision Kinetics of <i>Escherichia coli</i> DNA Polymerase I","Mohammed","journal-article","Wiley"
"10.1093/nar/gks1240","Nucleic Acids Research","Selection of tRNA charging quality control mechanisms that increase mistranslation of the genetic code","Srujana S.","journal-article","Oxford University Press (OUP)"
"10.1016/0014-5793(83)80026-x","FEBS Letters","The accuracy of poly(U) translation by different eukaryotic tRNAs","A.V.","journal-article","Wiley"
"10.1016/0014-5793(88)81225-0","FEBS Letters","Stop making sense or Regulation at the level of termination in eukaryotic protein synthesis","Rosaura P.C.","journal-article","Wiley"
"10.1016/0014-5793(75)80702-2","FEBS Letters","On the mechanism of nucleotide incorporation into DNA and RNA","Jacques","journal-article","Wiley"
"10.1002/ange.19850971206","Angewandte Chemie","Fehlerhäufigkeit bei der Replikation und Expression der genetischen Information","Uwe","journal-article","Wiley"
"10.1038/emboj.2008.243","The EMBO Journal","Recognition of aminoacyl-tRNA: a common molecular mechanism revealed by cryo-EM","Wen","journal-article","Springer Science and Business Media LLC"
"10.2976/1.2909080","HFSP Journal","Kinetic proofreading of gene activation by chromatin remodeling","R.","journal-article","Informa UK Limited"
"10.1016/j.nbt.2011.11.016","New Biotechnology","Advances in human proteomics at high scale with the SOMAscan proteomics platform","Larry","journal-article","Elsevier BV"
"10.1103/physreve.90.022704","Physical Review E","RecA-mediated sequence homology recognition as an example of how searching speed in self-assembly systems can be optimized by balancing entropic and enthalpic barriers","Lili","journal-article","American Physical Society (APS)"
"10.1103/physreve.89.062716","Physical Review E","Rate in template-directed polymer synthesis","Takuya","journal-article","American Physical Society (APS)"
"10.1103/physreve.89.062108","Physical Review E","Dynamic phase transitions in simple driven kinetic networks","Suriyanarayanan","journal-article","American Physical Society (APS)"
"10.1073/pnas.2021860119","Proceedings of the National Academy of Sciences","On the dimensionality of behavior","William","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.0501062102","Proceedings of the National Academy of Sciences","The cost of replication fidelity in an RNA virus","Victoria","journal-article","Proceedings of the National Academy of Sciences"
"10.1146/annurev.biochem.66.1.679","Annual Review of Biochemistry","RIBOSOMES AND TRANSLATION","Rachel","journal-article","Annual Reviews"
"10.1146/annurev.biochem.70.1.415","Annual Review of Biochemistry","Fidelity of Aminoacyl-tRNA Selection on the Ribosome: Kinetic and Structural Mechanisms","Marina V.","journal-article","Annual Reviews"
"10.3390/ijms232314728","International Journal of Molecular Sciences","The Enigmatic Nature of the TCR-pMHC Interaction: Implications for CAR-T and TCR-T Engineering","http://orcid.org/0000-0002-7084-081X","journal-article","MDPI AG"
"10.1007/bf02084158","International Journal of Theoretical Physics","The thermodynamics of computation—a review","Charles H.","journal-article","Springer Science and Business Media LLC"
"10.1021/ci0400213","Journal of Chemical Information and Computer Sciences","Information Content in Organic Molecules:  Quantification and Statistical Structure via Brownian Processing","Daniel J.","journal-article","American Chemical Society (ACS)"
"10.1126/science.abj2040","Science","Preparing macrophages for the future","Nagarajan","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1039/c2cp42041d","Physical Chemistry Chemical Physics","Amplification of enantiomeric excess, mirror-image symmetry breaking and kinetic proofreading in Soai reaction models with different oligomeric orders","Jean-Claude","journal-article","Royal Society of Chemistry (RSC)"
"10.1103/physreve.96.012405","Physical Review E","Balancing specificity, sensitivity, and speed of ligand discrimination by zero-order ultraspecificity","Masashi K.","journal-article","American Physical Society (APS)"
"10.1103/physreve.95.042408","Physical Review E","Kinetic discrimination of a polymerase in the presence of obstacles","Ilana","journal-article","American Physical Society (APS)"
"10.1007/bf00369898","Molecular Biology Reports","A proposed role for IF-3 and EF-T in maintaining the specificity of prokaryotic initiation complex formation","M. C.","journal-article","Springer Science and Business Media LLC"
"10.7554/elife.02218","eLife","Hsp70 chaperones are non-equilibrium machines that achieve ultra-affinity by energy consumption","Paolo","journal-article","eLife Sciences Publications, Ltd"
"10.7554/elife.02272","eLife","SM proteins Sly1 and Vps33 co-assemble with Sec17 and SNARE complexes to oppose SNARE disassembly by Sec18","Braden T","journal-article","eLife Sciences Publications, Ltd"
